Sex,Age,Fault,PolicyType,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,FraudFound
Female,21,Policy Holder,Sport - Liability,"more than 69,000",12,300,1,none,3 years,26 to 30,No,No,External,Liability,No
Male,34,Policy Holder,Sport - Collision,"more than 69,000",15,400,4,none,6 years,31 to 35,Yes,No,External,Collision,No
Male,47,Policy Holder,Sport - Collision,"more than 69,000",7,400,3,1,7 years,41 to 50,No,No,External,Collision,No
Male,65,Third Party,Sedan - Liability,"20,000 to 29,000",4,400,2,1,more than 7,51 to 65,Yes,No,External,Liability,No
Female,27,Third Party,Sport - Collision,"more than 69,000",3,400,1,none,5 years,31 to 35,No,No,External,Collision,No
Male,20,Third Party,Sport - Collision,"more than 69,000",12,400,3,none,5 years,21 to 25,No,No,External,Collision,No
Male,36,Third Party,Sport - Collision,"more than 69,000",14,400,1,1,7 years,36 to 40,No,No,External,Collision,No
Male,0,Policy Holder,Sport - Collision,"more than 69,000",1,400,4,1,new,16 to 17,No,No,External,Collision,No
Male,30,Policy Holder,Sport - Collision,"more than 69,000",7,400,4,none,6 years,31 to 35,No,Yes,External,Collision,No
Male,42,Policy Holder,Utility - All Perils,"more than 69,000",7,400,1,2 to 4,more than 7,36 to 40,No,No,External,All Perils,No
Male,71,Policy Holder,Sedan - All Perils,"more than 69,000",7,400,3,none,more than 7,over 65,No,No,External,All Perils,No
Male,52,Policy Holder,Sedan - Liability,"20,000 to 29,000",13,400,1,2 to 4,more than 7,41 to 50,No,No,External,Liability,No
Male,28,Policy Holder,Sedan - Liability,"more than 69,000",11,400,1,1,7 years,31 to 35,No,No,External,Liability,No
Male,0,Third Party,Sedan - Collision,"more than 69,000",12,400,3,none,new,16 to 17,No,No,External,Collision,No
Male,61,Policy Holder,Sedan - Liability,"more than 69,000",3,400,1,none,more than 7,51 to 65,No,No,External,Liability,No
Male,38,Policy Holder,Sedan - Liability,"more than 69,000",16,400,1,none,6 years,36 to 40,No,No,External,Liability,No
Male,41,Policy Holder,Sedan - All Perils,"more than 69,000",15,400,4,none,7 years,36 to 40,No,No,External,All Perils,No
